GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research
325,112,4,4.0,4.5,9.17,1
309,105,5,3.5,3.5,8.56,0
340,120,5,4.5,4.5,9.6,1
316,103,3,3.5,2.0,7.68,0
319,108,2,2.5,3.0,8.76,0
321,109,3,3.5,3.5,8.8,1
332,116,5,5.0,5.0,9.28,1
315,104,3,3.0,2.5,8.33,0
306,105,2,3.0,2.5,8.26,0
301,99,2,3.0,2.0,8.22,0
315,107,2,4.0,3.0,8.5,1
308,110,4,3.5,3.0,8.6,0
324,113,4,4.5,4.0,8.79,0
300,100,3,2.0,3.0,8.66,1
324,112,4,4.0,3.5,8.77,1
315,103,1,1.5,2.0,7.86,0
311,104,2,2.0,2.0,8.3,0
314,108,3,4.5,3.5,8.14,0
332,112,1,1.5,3.0,8.66,1
320,108,3,3.5,5.0,8.97,1
319,112,3,2.5,2.0,8.71,1
327,109,3,3.5,4.0,8.77,1
297,100,1,1.5,2.0,7.9,0
320,110,5,5.0,5.0,9.2,1
317,107,3,3.5,3.0,8.68,1
312,109,2,2.5,4.0,9.02,0
329,114,2,2.0,4.0,8.56,1
304,97,2,1.5,2.0,7.64,0
300,99,1,1.0,2.5,8.01,0
323,107,4,3.0,2.5,8.48,1
340,112,4,5.0,4.5,9.66,1
325,114,3,3.5,3.0,9.04,1
330,115,5,4.5,3.0,9.34,1
330,116,4,4.0,3.5,9.23,1
333,113,5,4.0,4.0,9.28,1
296,101,1,2.5,3.0,7.68,0
308,103,2,3.0,3.5,8.49,0
322,115,5,4.0,4.5,9.36,1
316,101,2,2.5,2.0,8.32,1
302,99,1,2.0,2.0,7.25,0
317,106,2,2.0,3.5,8.12,0
337,117,5,5.0,5.0,9.87,1
318,107,3,3.0,3.5,8.27,1
322,110,3,3.0,3.5,8.0,0
318,100,2,2.5,3.5,8.54,1
299,96,2,1.5,2.0,7.86,0
319,103,4,4.5,3.5,8.66,0
325,112,4,4.0,4.0,9.0,1
312,104,3,3.5,3.5,8.42,0
317,101,3,3.0,2.0,7.94,1
318,106,3,2.0,3.0,8.65,0
328,110,4,4.0,2.5,9.02,1
320,101,2,2.5,3.0,8.62,0
324,111,3,2.5,1.5,8.79,1
318,101,5,3.5,5.0,8.78,1
300,104,3,3.5,3.0,8.16,0
330,120,5,4.5,5.0,9.56,1
320,104,3,3.5,4.5,8.34,1
323,110,4,4.0,5.0,8.88,1
310,103,2,2.5,2.5,8.24,0
333,118,5,5.0,5.0,9.35,1
328,116,5,4.5,5.0,9.08,1
328,115,4,4.5,4.0,9.16,1
340,115,5,4.5,4.5,9.45,1
335,118,5,4.5,3.5,9.44,1
340,120,5,4.5,4.5,9.91,1
340,120,4,5.0,5.0,9.5,1
312,103,4,4.0,5.0,8.43,0
332,117,4,4.5,4.0,9.1,0
313,102,3,3.5,4.0,8.9,1
297,96,2,2.5,2.0,7.43,0
334,116,4,4.0,3.0,8.0,1
322,110,4,4.0,5.0,9.13,1
303,99,3,2.0,2.5,7.66,0
334,117,5,4.0,4.5,9.07,1
332,118,2,4.5,3.5,9.36,1
311,103,3,2.0,4.0,8.09,0
339,114,5,4.0,4.5,9.76,1
305,102,2,2.0,2.5,8.18,0
327,106,4,4.0,4.5,8.75,1
303,98,1,2.0,2.5,7.65,0
301,104,2,3.5,3.5,7.89,1
