GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research
315,106,3,4.5,3.5,8.42,0
299,100,1,1.5,2,7.89,0
298,99,1,1.5,3,7.46,0
324,112,4,4.5,4,9.22,1
298,98,2,1.5,2.5,7.5,1
324,111,3,2.5,1.5,8.79,1
313,102,3,2,3,8.27,0
332,117,4,4.5,4,9.1,0
322,110,3,3.5,3,8.96,1
320,103,3,3,3,7.7,0
312,105,2,2,2.5,8.45,0
315,105,2,3,3,8.34,0
320,101,2,2.5,3,8.62,0
333,117,4,5,4,9.66,1
316,103,3,3.5,2,7.68,0
340,112,4,5,4.5,9.66,1
331,116,5,4,4,9.26,1
326,114,3,3,3,9.11,1
322,110,3,3,3.5,8,0
294,95,1,1.5,1.5,7.64,0
315,99,2,3.5,3,7.89,0
333,119,5,5,4.5,9.78,1
316,102,3,2,3,7.4,0
300,99,1,1,2.5,8.01,0
320,104,3,3,3.5,8.74,1
315,104,3,4,2.5,8.1,0
298,97,2,2,3,7.21,0
319,105,4,4,4.5,8.66,1
324,105,3,3,4,8.75,0
300,100,3,2,3,8.66,1
307,108,2,4,3.5,7.7,0
324,110,3,3.5,3,9.22,1
299,96,2,1.5,2,7.86,0
330,114,3,4.5,4.5,9.24,1
330,115,5,4.5,3,9.34,1
324,110,4,4.5,4,9.15,1
299,100,2,3,3.5,7.88,0
305,103,2,2.5,3.5,8.13,0
325,111,3,3,3.5,8.7,0
316,109,3,3.5,3,8.76,0
326,110,3,3.5,3.5,8.76,1
333,113,5,4,4,9.28,1
324,110,3,3.5,3.5,9.04,1
304,104,3,2.5,2,8.12,0
295,99,2,2.5,3,7.65,0
301,104,2,3.5,3.5,7.89,1
312,110,2,3.5,3,8.53,0
327,108,5,5,3.5,9.13,1
328,116,5,5,5,9.5,1
340,114,5,4,4,9.6,1
300,99,1,3,2,6.8,1
318,103,3,4,4.5,8.49,1
314,108,3,4.5,3.5,8.14,0
324,100,3,4,5,8.64,1
317,107,2,3.5,3,8.28,0
321,112,5,5,5,9.06,1
311,104,3,4.5,4.5,8.43,0
325,110,4,4.5,4,8.96,1
322,109,5,4.5,3.5,8.8,0
302,110,3,4,4.5,8.5,0
320,108,3,3.5,4,8.44,1
315,107,2,4,3,8.5,1
320,110,5,5,4.5,9.22,1
334,119,5,5,4.5,9.7,1
321,111,3,2.5,3,8.9,1
340,115,5,4.5,4.5,9.45,1
300,104,3,3.5,3,8.16,0
314,110,3,4,4,8.8,0
290,104,4,2,2.5,7.46,0
312,104,3,3.5,3.5,8.42,0
320,110,5,4,4,9.27,1
322,110,3,3.5,2.5,8.67,1
315,100,1,2,2.5,7.95,0
293,97,2,2,4,7.8,1
321,110,4,3.5,4,8.35,1
326,102,4,5,5,8.76,1
313,104,3,4,4.5,8.65,0
328,110,4,4,2.5,9.02,1
322,103,4,3,2.5,8.02,1
310,99,2,1.5,2,7.3,0
311,101,3,2,2.5,7.64,1
331,115,5,4,3.5,9.44,1
297,98,2,2.5,3,7.67,0
318,100,2,2.5,3.5,8.54,1
303,99,3,2,2.5,7.66,0
314,107,2,2.5,4,8.56,0
311,99,2,2.5,3,7.98,0
315,101,3,3.5,4.5,9.13,0
311,104,2,2,2,8.3,0
301,97,2,3,3,7.88,1
323,107,3,3.5,3.5,8.55,1
317,107,3,4,3,8.7,0
316,103,2,2,4.5,8.74,0
317,104,2,3,3,8.76,0
320,104,3,3,2.5,8.57,1
322,105,2,3,3,8.45,1
337,117,5,5,5,9.87,1
317,110,3,4,4.5,9.11,1
317,106,1,1.5,3.5,7.65,1
297,96,2,2.5,2,7.43,0
316,99,2,2.5,3,9,0
322,112,4,4.5,4.5,9.26,1
300,102,2,1.5,2,7.87,0
322,112,3,3,4,8.62,1
312,107,3,3,2,7.9,1
298,101,2,1.5,2,7.86,0
335,118,5,4.5,3.5,9.44,1
305,104,2,2.5,1.5,7.79,0
324,115,3,3.5,3,8.76,1
326,112,3,3.5,3,9.05,1
329,114,5,4,5,9.3,1
329,111,4,4.5,4,9.23,1
297,101,3,2,4,7.67,1
315,110,2,3.5,3,8.46,1
319,112,3,2.5,2,8.71,1
300,100,3,3,3.5,8.26,0
313,98,3,2.5,4.5,8.3,1
321,107,2,2,1.5,8.44,0
316,110,3,3.5,4,8.56,0
319,106,3,3.5,2.5,8.33,1
322,110,5,4.5,4,8.97,0
304,100,2,3.5,3,8.22,0
325,106,3,3.5,4,8.4,1
320,112,4,3,4.5,8.86,1
323,111,5,4,5,9.86,1
304,102,2,3,4,8.73,0
303,100,2,3,3.5,8.06,1
325,111,4,4,4.5,9.11,1
322,115,5,4,4.5,9.36,1
327,114,3,3,3,9.02,0
305,107,2,2.5,2.5,8.42,0
308,105,4,3,2.5,7.95,1
323,108,5,4,4,8.74,1
330,116,4,5,4.5,9.45,1
319,102,3,2.5,2.5,8.37,0
324,110,3,3.5,4,8.87,1
326,114,4,4,3.5,9.16,1
324,111,3,2.5,2,8.8,1
340,120,5,4.5,4.5,9.6,1
310,105,2,3,3.5,8.01,0
332,112,1,1.5,3,8.66,1
307,105,4,3,3,7.94,0
298,98,2,4,3,8.03,0
307,105,2,2.5,3,7.65,0
314,104,4,5,5,9.02,0
312,109,3,3,3,8.69,0
310,106,2,3.5,2.5,8.33,0
334,116,4,4,3.5,9.54,1
311,104,3,3.5,2,8.2,1
